coo: 51.9254352_4.4753878;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00;
2024-04-11;--;--;--;--;--;--;--;--;--;--;0.13;76.31;9.29;88.03;18.52;100.02;27.39;112.95;35.38;127.63;41.80;144.79;45.78;164.65;46.54;186.10;43.92;206.90;38.48;225.29;31.09;240.99;22.55;254.61;13.44;266.93;4.23;278.71;--;--;--;--;--;--;--;--;--;--;
2024-04-12;--;--;--;--;--;--;--;--;--;--;0.46;76.14;9.62;87.85;18.84;99.83;27.72;112.78;35.73;127.48;42.16;144.69;46.15;164.65;46.90;186.23;44.25;207.13;38.77;225.57;31.36;241.29;22.80;254.90;13.69;267.22;4.48;278.98;--;--;--;--;--;--;--;--;--;--;
2024-04-13;--;--;--;--;--;--;--;--;--;--;0.79;75.97;9.94;87.67;19.17;99.65;28.05;112.60;36.08;127.32;42.52;144.60;46.51;164.66;47.26;186.36;44.58;207.35;39.07;225.85;31.63;241.58;23.05;255.19;13.93;267.50;4.72;279.26;--;--;--;--;--;--;--;--;--;--;
2024-04-14;--;--;--;--;--;--;--;--;--;--;1.11;75.80;10.26;87.49;19.49;99.46;28.38;112.42;36.42;127.16;42.88;144.50;46.88;164.66;47.61;186.48;44.91;207.58;39.36;226.13;31.89;241.87;23.30;255.48;14.17;267.78;4.97;279.53;--;--;--;--;--;--;--;--;--;--;
2024-04-15;--;--;--;--;--;--;--;--;--;--;1.43;75.63;10.58;87.31;19.81;99.28;28.71;112.24;36.76;127.01;43.24;144.39;47.24;164.66;47.96;186.61;45.23;207.81;39.65;226.41;32.16;242.16;23.55;255.76;14.41;268.06;5.21;279.79;--;--;--;--;--;--;--;--;--;--;
2024-04-16;--;--;--;--;--;--;--;--;--;--;1.75;75.46;10.89;87.13;20.12;99.10;29.03;112.06;37.09;126.85;43.59;144.29;47.60;164.65;48.31;186.74;45.55;208.03;39.94;226.68;32.42;242.45;23.79;256.05;14.65;268.33;5.46;280.06;--;--;--;--;--;--;--;--;--;--;
2024-04-17;--;--;--;--;--;--;--;--;--;--;2.06;75.29;11.20;86.95;20.43;98.91;29.35;111.88;37.42;126.69;43.93;144.18;47.95;164.65;48.66;186.86;45.87;208.26;40.23;226.96;32.68;242.74;24.04;256.33;14.89;268.61;5.70;280.32;--;--;--;--;--;--;--;--;--;--;
2024-04-18;--;--;--;--;--;--;--;--;--;--;2.37;75.12;11.50;86.77;20.74;98.73;29.67;111.69;37.75;126.52;44.28;144.08;48.31;164.64;49.00;186.98;46.19;208.48;40.51;227.23;32.94;243.02;24.28;256.61;15.13;268.87;5.94;280.58;--;--;--;--;--;--;--;--;--;--;
2024-04-19;--;--;--;--;--;--;--;--;--;--;2.68;74.95;11.81;86.59;21.04;98.54;29.98;111.51;38.08;126.36;44.62;143.97;48.66;164.63;49.34;187.10;46.50;208.71;40.79;227.50;33.19;243.31;24.52;256.89;15.36;269.14;6.17;280.83;--;--;--;--;--;--;--;--;--;--;
2024-04-20;--;--;--;--;--;--;--;--;--;--;2.98;74.79;12.11;86.41;21.34;98.35;30.28;111.33;38.40;126.20;44.95;143.85;49.00;164.62;49.68;187.22;46.81;208.93;41.07;227.77;33.45;243.59;24.76;257.16;15.60;269.40;6.41;281.08;--;--;--;--;--;--;--;--;--;--;
2024-04-21;--;--;--;--;--;--;--;--;--;--;3.28;74.62;12.40;86.23;21.64;98.17;30.59;111.14;38.72;126.03;45.29;143.74;49.34;164.61;50.01;187.34;47.12;209.15;41.35;228.04;33.70;243.86;24.99;257.43;15.83;269.67;6.65;281.33;--;--;--;--;--;--;--;--;--;--;
2024-04-22;--;--;--;--;--;--;--;--;--;--;3.58;74.45;12.69;86.05;21.93;97.98;30.89;110.96;39.03;125.86;45.62;143.62;49.68;164.60;50.34;187.46;47.42;209.37;41.62;228.30;33.95;244.14;25.23;257.70;16.06;269.92;6.88;281.58;--;--;--;--;--;--;--;--;--;--;
2024-04-23;--;--;--;--;--;--;--;--;--;--;3.87;74.28;12.98;85.88;22.22;97.80;31.18;110.77;39.34;125.69;45.94;143.50;50.02;164.58;50.67;187.57;47.72;209.58;41.89;228.57;34.20;244.41;25.46;257.97;16.29;270.18;7.11;281.82;--;--;--;--;--;--;--;--;--;--;
2024-04-24;--;--;--;--;--;--;--;--;--;--;4.16;74.12;13.26;85.70;22.50;97.61;31.47;110.58;39.64;125.52;46.26;143.38;50.35;164.56;50.99;187.68;48.02;209.80;42.16;228.83;34.44;244.68;25.69;258.23;16.51;270.43;7.34;282.06;--;--;--;--;--;--;--;--;--;--;
2024-04-25;--;--;--;--;--;--;--;--;--;--;4.44;73.95;13.54;85.52;22.78;97.42;31.76;110.40;39.94;125.35;46.58;143.26;50.68;164.54;51.31;187.79;48.32;210.01;42.43;229.09;34.68;244.95;25.92;258.49;16.74;270.68;7.57;282.29;--;--;--;--;--;--;--;--;--;--;
2024-04-26;--;--;--;--;--;--;--;--;--;--;4.72;73.79;13.82;85.34;23.06;97.24;32.04;110.21;40.24;125.17;46.89;143.14;51.00;164.51;51.63;187.90;48.61;210.22;42.69;229.34;34.92;245.21;26.15;258.75;16.96;270.92;7.80;282.52;--;--;--;--;--;--;--;--;--;--;
2024-04-27;--;--;--;--;--;--;--;--;--;--;5.00;73.62;14.09;85.16;23.33;97.05;32.32;110.02;40.53;125.00;47.20;143.01;51.32;164.48;51.94;188.00;48.90;210.43;42.95;229.60;35.16;245.47;26.37;259.00;17.18;271.16;8.03;282.75;-0.72;294.41;--;--;--;--;--;--;--;--;
2024-04-28;--;--;--;--;--;--;--;--;--;--;5.27;73.46;14.35;84.99;23.60;96.86;32.59;109.83;40.81;124.82;47.50;142.88;51.63;164.45;52.25;188.11;49.18;210.63;43.21;229.85;35.39;245.73;26.60;259.25;17.40;271.40;8.25;282.97;-0.48;294.62;--;--;--;--;--;--;--;--;
2024-04-29;--;--;--;--;--;--;--;--;--;--;5.54;73.29;14.61;84.81;23.86;96.68;32.86;109.64;41.10;124.65;47.80;142.75;51.94;164.42;52.56;188.21;49.46;210.84;43.46;230.09;35.63;245.98;26.82;259.49;17.62;271.63;8.47;283.19;-0.25;294.82;--;--;--;--;--;--;--;--;
2024-04-30;--;--;--;--;--;--;--;--;--;--;5.80;73.13;14.87;84.63;24.11;96.49;33.12;109.45;41.37;124.47;48.09;142.61;52.25;164.39;52.86;188.30;49.74;211.03;43.71;230.34;35.86;246.23;27.03;259.73;17.83;271.86;8.69;283.41;-0.02;295.02;--;--;--;--;--;--;--;--;
2024-05-01;--;--;--;--;--;--;--;--;--;--;6.05;72.97;15.12;84.46;24.37;96.31;33.38;109.26;41.64;124.29;48.38;142.48;52.55;164.35;53.15;188.40;50.02;211.23;43.96;230.58;36.08;246.48;27.25;259.97;18.05;272.08;8.91;283.62;0.21;295.22;--;--;--;--;--;--;--;--;
2024-05-02;--;--;--;--;--;--;--;--;--;--;6.31;72.81;15.37;84.28;24.61;96.12;33.64;109.07;41.91;124.11;48.67;142.34;52.85;164.30;53.45;188.49;50.29;211.42;44.20;230.81;36.31;246.72;27.46;260.20;18.26;272.30;9.12;283.83;0.43;295.41;--;--;--;--;--;--;--;--;
2024-05-03;--;--;--;--;--;--;--;--;--;--;6.55;72.65;15.61;84.11;24.85;95.93;33.88;108.88;42.17;123.92;48.95;142.20;53.14;164.26;53.74;188.57;50.55;211.61;44.45;231.04;36.53;246.96;27.68;260.43;18.47;272.52;9.34;284.03;0.66;295.60;--;--;--;--;--;--;--;--;
2024-05-04;--;--;--;--;--;--;--;--;--;--;6.80;72.48;15.85;83.93;25.09;95.75;34.13;108.69;42.43;123.74;49.22;142.05;53.43;164.21;54.02;188.66;50.82;211.80;44.69;231.27;36.75;247.19;27.88;260.66;18.67;272.73;9.55;284.23;0.88;295.78;--;--;--;--;--;--;--;--;
2024-05-05;--;--;--;--;--;--;--;--;--;--;7.04;72.32;16.08;83.76;25.32;95.57;34.37;108.50;42.68;123.56;49.49;141.91;53.71;164.16;54.30;188.74;51.08;211.98;44.92;231.50;36.97;247.42;28.09;260.88;18.88;272.94;9.76;284.42;1.10;295.96;--;--;--;--;--;--;--;--;
2024-05-06;--;--;--;--;--;--;--;--;--;--;7.27;72.17;16.31;83.59;25.55;95.38;34.60;108.31;42.92;123.37;49.75;141.76;53.99;164.11;54.58;188.81;51.34;212.16;45.15;231.72;37.18;247.65;28.30;261.09;19.08;273.14;9.97;284.61;1.32;296.13;--;--;--;--;--;--;--;--;
2024-05-07;--;--;--;--;--;--;--;--;--;--;7.50;72.01;16.53;83.42;25.77;95.20;34.83;108.12;43.17;123.19;50.01;141.61;54.27;164.05;54.85;188.89;51.59;212.33;45.38;231.93;37.39;247.87;28.50;261.30;19.28;273.34;10.17;284.80;1.53;296.30;--;--;--;--;--;--;--;--;
2024-05-08;--;--;--;--;--;--;--;--;-0.73;60.25;7.72;71.85;16.75;83.24;25.99;95.02;35.05;107.93;43.40;123.00;50.27;141.46;54.53;163.99;55.12;188.96;51.84;212.50;45.61;232.14;37.60;248.08;28.70;261.51;19.48;273.53;10.37;284.98;1.74;296.47;--;--;--;--;--;--;--;--;
2024-05-09;--;--;--;--;--;--;--;--;-0.51;60.11;7.94;71.69;16.96;83.08;26.20;94.83;35.26;107.74;43.63;122.81;50.51;141.31;54.80;163.92;55.38;189.02;52.08;212.67;45.83;232.35;37.81;248.29;28.89;261.71;19.68;273.72;10.57;285.15;1.95;296.63;--;--;--;--;--;--;--;--;
2024-05-10;--;--;--;--;--;--;--;--;-0.28;59.97;8.15;71.54;17.16;82.91;26.40;94.65;35.47;107.55;43.85;122.63;50.75;141.16;55.05;163.86;55.64;189.08;52.32;212.83;46.05;232.55;38.01;248.50;29.09;261.91;19.87;273.90;10.77;285.32;2.16;296.79;--;--;--;--;--;--;--;--;
2024-05-11;--;--;--;--;--;--;--;--;-0.07;59.83;8.35;71.38;17.36;82.74;26.60;94.47;35.68;107.36;44.07;122.44;50.99;141.00;55.31;163.79;55.89;189.14;52.56;212.98;46.26;232.75;38.21;248.70;29.28;262.10;20.06;274.08;10.97;285.49;2.36;296.94;--;--;--;--;--;--;--;--;
2024-05-12;--;--;--;--;--;--;--;--;0.14;59.70;8.56;71.23;17.56;82.57;26.80;94.30;35.88;107.17;44.28;122.25;51.22;140.84;55.55;163.71;56.14;189.19;52.79;213.14;46.48;232.94;38.41;248.90;29.47;262.29;20.25;274.26;11.16;285.65;2.57;297.08;--;--;--;--;--;--;--;--;
2024-05-13;--;--;--;--;--;--;--;--;0.35;59.56;8.75;71.08;17.75;82.41;26.99;94.12;36.07;106.98;44.49;122.07;51.44;140.68;55.79;163.63;56.38;189.24;53.02;213.28;46.68;233.13;38.60;249.09;29.65;262.47;20.43;274.43;11.35;285.80;2.76;297.22;--;--;--;--;--;--;--;--;
2024-05-14;--;--;--;--;--;--;--;--;0.55;59.42;8.94;70.93;17.93;82.24;27.17;93.94;36.26;106.80;44.69;121.88;51.66;140.52;56.03;163.55;56.62;189.28;53.24;213.42;46.89;233.31;38.79;249.27;29.84;262.65;20.61;274.59;11.54;285.96;2.96;297.36;--;--;--;--;--;--;--;--;
2024-05-15;--;--;--;--;--;--;--;--;0.74;59.29;9.13;70.78;18.11;82.08;27.35;93.77;36.44;106.61;44.88;121.69;51.88;140.36;56.26;163.47;56.86;189.32;53.46;213.56;47.09;233.48;38.98;249.45;30.02;262.82;20.79;274.75;11.72;286.10;3.15;297.49;--;--;--;--;--;--;--;--;
2024-05-16;--;--;--;--;--;--;--;--;0.93;59.16;9.30;70.63;18.28;81.92;27.52;93.59;36.62;106.43;45.07;121.51;52.08;140.20;56.48;163.38;57.08;189.36;53.68;213.69;47.29;233.65;39.16;249.63;30.20;262.98;20.97;274.90;11.90;286.24;3.34;297.62;--;--;--;--;--;--;--;--;
2024-05-17;--;--;--;--;--;--;--;--;1.12;59.02;9.48;70.49;18.45;81.76;27.68;93.42;36.79;106.25;45.25;121.32;52.28;140.03;56.70;163.29;57.31;189.39;53.89;213.82;47.48;233.82;39.34;249.79;30.37;263.14;21.14;275.05;12.08;286.38;3.53;297.74;--;--;--;--;--;--;--;--;
2024-05-18;--;--;--;--;--;--;--;--;1.29;58.89;9.65;70.34;18.61;81.60;27.84;93.25;36.95;106.07;45.43;121.13;52.48;139.87;56.92;163.20;57.53;189.41;54.10;213.94;47.67;233.97;39.52;249.96;30.54;263.30;21.32;275.20;12.25;286.51;3.71;297.86;--;--;--;--;--;--;--;--;
2024-05-19;--;--;--;--;--;--;--;--;1.46;58.76;9.81;70.20;18.77;81.45;28.00;93.09;37.11;105.89;45.60;120.95;52.66;139.70;57.12;163.11;57.74;189.43;54.30;214.05;47.86;234.13;39.69;250.11;30.71;263.45;21.48;275.33;12.43;286.64;3.89;297.97;--;--;--;--;--;--;--;--;
2024-05-20;--;--;--;--;--;--;--;--;1.63;58.64;9.96;70.06;18.92;81.30;28.15;92.92;37.26;105.71;45.76;120.77;52.85;139.53;57.32;163.01;57.95;189.45;54.50;214.16;48.04;234.27;39.87;250.27;30.88;263.59;21.65;275.47;12.59;286.76;4.06;298.08;--;--;--;--;--;--;--;--;
2024-05-21;--;--;--;--;--;--;--;--;1.79;58.51;10.11;69.92;19.06;81.14;28.29;92.75;37.41;105.53;45.92;120.58;53.02;139.37;57.52;162.91;58.15;189.46;54.69;214.26;48.22;234.41;40.03;250.41;31.04;263.73;21.81;275.60;12.76;286.87;4.23;298.18;--;--;--;--;--;--;--;--;
2024-05-22;--;--;--;--;--;--;--;--;1.94;58.38;10.26;69.78;19.20;80.99;28.42;92.59;37.55;105.36;46.07;120.40;53.19;139.20;57.71;162.80;58.34;189.47;54.88;214.36;48.39;234.55;40.20;250.55;31.20;263.86;21.97;275.72;12.92;286.98;4.40;298.28;--;--;--;--;--;--;--;--;
2024-05-23;--;--;--;--;--;--;--;--;2.09;58.26;10.40;69.64;19.33;80.85;28.55;92.43;37.69;105.18;46.22;120.22;53.35;139.03;57.89;162.70;58.53;189.47;55.06;214.45;48.56;234.67;40.36;250.68;31.35;263.99;22.13;275.83;13.08;287.09;4.57;298.37;--;--;--;--;--;--;--;--;
2024-05-24;--;--;--;--;--;--;--;--;2.23;58.14;10.53;69.51;19.46;80.70;28.68;92.28;37.81;105.02;46.36;120.04;53.51;138.87;58.06;162.59;58.72;189.46;55.24;214.53;48.73;234.80;40.51;250.81;31.51;264.11;22.28;275.94;13.24;287.19;4.73;298.46;--;--;--;--;--;--;--;--;
2024-05-25;--;--;--;--;--;--;--;--;2.37;58.02;10.65;69.38;19.58;80.56;28.80;92.12;37.94;104.85;46.49;119.87;53.66;138.70;58.23;162.48;58.90;189.45;55.41;214.61;48.89;234.91;40.67;250.93;31.65;264.22;22.43;276.05;13.39;287.28;4.89;298.54;--;--;--;--;--;--;--;--;
2024-05-26;--;--;--;--;--;--;--;--;2.50;57.90;10.77;69.25;19.69;80.42;28.91;91.97;38.05;104.68;46.61;119.69;53.80;138.53;58.40;162.36;59.07;189.44;55.58;214.68;49.05;235.02;40.82;251.04;31.80;264.33;22.57;276.15;13.54;287.37;5.04;298.62;--;--;--;--;--;--;--;--;
2024-05-27;--;--;--;--;--;--;--;--;2.62;57.78;10.89;69.12;19.80;80.28;29.02;91.82;38.16;104.52;46.73;119.52;53.94;138.37;58.55;162.25;59.24;189.42;55.74;214.74;49.20;235.12;40.96;251.15;31.94;264.43;22.71;276.24;13.68;287.46;5.19;298.69;--;--;--;--;--;--;--;--;
2024-05-28;--;--;--;--;--;--;--;--;2.74;57.67;11.00;69.00;19.90;80.15;29.12;91.67;38.27;104.36;46.85;119.35;54.07;138.20;58.70;162.13;59.40;189.40;55.90;214.80;49.35;235.21;41.10;251.25;32.08;264.53;22.85;276.33;13.82;287.54;5.33;298.76;--;--;--;--;--;--;--;--;
2024-05-29;--;--;--;--;--;--;--;--;2.85;57.56;11.10;68.88;20.00;80.01;29.21;91.53;38.37;104.21;46.96;119.19;54.19;138.04;58.85;162.01;59.55;189.37;56.05;214.85;49.50;235.30;41.24;251.35;32.21;264.62;22.99;276.42;13.96;287.61;5.48;298.82;--;--;--;--;--;--;--;--;
2024-05-30;--;--;--;--;--;--;--;--;2.95;57.45;11.20;68.76;20.09;79.89;29.30;91.39;38.46;104.05;47.06;119.02;54.31;137.88;58.98;161.89;59.70;189.34;56.20;214.90;49.64;235.38;41.38;251.44;32.35;264.71;23.12;276.49;14.09;287.68;5.61;298.88;--;--;--;--;--;--;--;--;
2024-05-31;--;--;--;--;--;--;--;--;3.05;57.34;11.29;68.64;20.18;79.76;29.39;91.25;38.54;103.90;47.15;118.86;54.42;137.72;59.11;161.77;59.85;189.30;56.34;214.94;49.77;235.45;41.51;251.52;32.47;264.79;23.24;276.56;14.22;287.74;5.75;298.93;--;--;--;--;--;--;--;--;
2024-06-01;--;--;--;--;--;--;--;--;3.15;57.23;11.37;68.53;20.26;79.64;29.46;91.12;38.62;103.76;47.24;118.70;54.53;137.56;59.24;161.65;59.98;189.26;56.48;214.97;49.90;235.52;41.63;251.59;32.60;264.86;23.37;276.63;14.35;287.80;5.87;298.98;--;--;--;--;--;--;--;--;
2024-06-02;--;--;--;--;--;--;--;--;3.23;57.13;11.45;68.42;20.33;79.52;29.54;90.99;38.70;103.61;47.32;118.55;54.62;137.40;59.36;161.52;60.11;189.21;56.61;215.00;50.03;235.58;41.75;251.66;32.72;264.92;23.49;276.69;14.47;287.85;6.00;299.02;--;--;--;--;--;--;--;--;
2024-06-03;--;--;--;--;--;--;--;--;3.31;57.03;11.52;68.31;20.40;79.40;29.60;90.86;38.77;103.48;47.40;118.40;54.72;137.25;59.47;161.40;60.24;189.16;56.74;215.02;50.15;235.63;41.87;251.72;32.83;264.98;23.60;276.75;14.59;287.90;6.12;299.06;--;--;--;--;--;--;--;--;
2024-06-04;--;--;--;--;--;--;--;--;3.39;56.93;11.59;68.20;20.46;79.29;29.66;90.74;38.83;103.34;47.47;118.25;54.80;137.10;59.57;161.27;60.36;189.10;56.86;215.03;50.27;235.68;41.98;251.78;32.94;265.04;23.71;276.79;14.70;287.94;6.23;299.09;--;--;--;--;--;--;--;--;
2024-06-05;--;--;--;--;--;--;--;--;3.46;56.84;11.65;68.10;20.52;79.18;29.71;90.62;38.88;103.21;47.53;118.10;54.88;136.95;59.67;161.15;60.47;189.04;56.98;215.03;50.38;235.72;42.09;251.83;33.05;265.09;23.82;276.84;14.81;287.98;6.34;299.12;--;--;--;--;--;--;--;--;
2024-06-06;--;--;--;--;--;--;--;--;3.52;56.74;11.71;68.00;20.57;79.07;29.76;90.51;38.93;103.08;47.59;117.96;54.95;136.80;59.76;161.02;60.57;188.98;57.08;215.03;50.49;235.75;42.20;251.87;33.15;265.13;23.92;276.88;14.91;288.01;6.45;299.14;--;--;--;--;--;--;--;--;
2024-06-07;--;--;--;--;--;--;--;--;3.58;56.65;11.76;67.91;20.61;78.97;29.81;90.39;38.98;102.96;47.64;117.83;55.01;136.66;59.84;160.90;60.67;188.91;57.19;215.03;50.59;235.78;42.30;251.90;33.25;265.16;24.02;276.91;15.01;288.03;6.55;299.16;--;--;--;--;--;--;--;--;
2024-06-08;--;--;--;--;--;--;--;--;3.63;56.57;11.80;67.81;20.65;78.87;29.84;90.29;39.02;102.84;47.69;117.70;55.07;136.52;59.92;160.77;60.76;188.84;57.29;215.01;50.69;235.79;42.39;251.93;33.35;265.19;24.12;276.93;15.10;288.06;6.64;299.18;--;--;--;--;--;--;--;--;
2024-06-09;--;--;--;--;--;--;--;--;3.67;56.48;11.84;67.72;20.68;78.78;29.87;90.19;39.05;102.73;47.73;117.57;55.12;136.38;59.98;160.65;60.85;188.77;57.38;214.99;50.78;235.80;42.48;251.95;33.44;265.22;24.21;276.95;15.19;288.07;6.74;299.19;-0.83;310.75;--;--;--;--;--;--;
2024-06-10;--;--;--;--;--;--;--;--;3.71;56.40;11.87;67.64;20.71;78.69;29.90;90.09;39.08;102.62;47.76;117.45;55.17;136.25;60.05;160.53;60.93;188.69;57.46;214.97;50.87;235.81;42.57;251.97;33.52;265.23;24.29;276.97;15.28;288.08;6.82;299.19;-0.75;310.74;--;--;--;--;--;--;
2024-06-11;--;--;--;--;--;--;--;--;3.74;56.32;11.89;67.56;20.73;78.60;29.92;89.99;39.10;102.52;47.79;117.33;55.21;136.12;60.10;160.40;61.00;188.60;57.55;214.93;50.95;235.81;42.65;251.98;33.60;265.25;24.37;276.98;15.36;288.09;6.90;299.19;-0.67;310.74;--;--;--;--;--;--;
2024-06-12;--;--;--;--;--;--;--;--;3.77;56.25;11.91;67.48;20.75;78.52;29.93;89.91;39.11;102.42;47.81;117.22;55.24;136.00;60.15;160.28;61.07;188.52;57.62;214.89;51.03;235.80;42.73;251.98;33.68;265.25;24.45;276.98;15.44;288.09;6.98;299.19;-0.59;310.73;--;--;--;--;--;--;
2024-06-13;--;--;--;--;--;--;--;--;3.79;56.18;11.93;67.41;20.76;78.44;29.94;89.82;39.12;102.33;47.82;117.12;55.27;135.88;60.19;160.16;61.12;188.43;57.69;214.85;51.10;235.78;42.80;251.97;33.75;265.25;24.52;276.98;15.51;288.09;7.05;299.18;-0.52;310.71;--;--;--;--;--;--;
2024-06-14;--;--;--;--;--;--;--;--;3.80;56.11;11.94;67.34;20.76;78.37;29.95;89.74;39.13;102.24;47.83;117.02;55.28;135.77;60.23;160.05;61.18;188.34;57.75;214.80;51.16;235.76;42.87;251.96;33.82;265.24;24.59;276.98;15.57;288.08;7.11;299.17;-0.46;310.69;--;--;--;--;--;--;
2024-06-15;--;--;--;--;--;--;--;--;3.81;56.05;11.94;67.27;20.76;78.30;29.94;89.67;39.13;102.15;47.84;116.92;55.30;135.66;60.26;159.93;61.22;188.25;57.81;214.74;51.22;235.73;42.93;251.95;33.88;265.23;24.65;276.96;15.64;288.06;7.17;299.15;-0.40;310.67;--;--;--;--;--;--;
2024-06-16;--;--;--;--;--;--;--;--;3.81;55.98;11.94;67.21;20.75;78.23;29.94;89.60;39.12;102.08;47.83;116.83;55.30;135.55;60.28;159.82;61.26;188.15;57.85;214.68;51.28;235.69;42.99;251.92;33.94;265.21;24.71;276.95;15.69;288.04;7.23;299.13;-0.35;310.64;--;--;--;--;--;--;
2024-06-17;--;--;--;--;--;--;--;--;3.81;55.93;11.93;67.15;20.74;78.17;29.92;89.53;39.11;102.01;47.83;116.75;55.31;135.45;60.29;159.71;61.29;188.05;57.90;214.61;51.33;235.65;43.04;251.89;33.99;265.19;24.76;276.93;15.74;288.02;7.28;299.10;-0.30;310.61;--;--;--;--;--;--;
2024-06-18;--;--;--;--;--;--;--;--;3.80;55.87;11.91;67.10;20.73;78.12;29.91;89.48;39.09;101.94;47.81;116.67;55.30;135.36;60.30;159.60;61.31;187.95;57.94;214.54;51.37;235.60;43.08;251.86;34.04;265.16;24.80;276.90;15.79;287.99;7.32;299.07;-0.26;310.58;--;--;--;--;--;--;
2024-06-19;--;--;--;--;--;--;--;--;3.78;55.82;11.89;67.05;20.70;78.07;29.88;89.42;39.07;101.88;47.79;116.60;55.29;135.27;60.30;159.50;61.33;187.85;57.97;214.46;51.41;235.54;43.12;251.81;34.08;265.12;24.85;276.86;15.83;287.96;7.36;299.04;-0.23;310.54;--;--;--;--;--;--;
2024-06-20;--;--;--;--;--;--;--;--;3.76;55.78;11.87;67.00;20.68;78.02;29.85;89.37;39.04;101.82;47.77;116.53;55.27;135.19;60.30;159.40;61.34;187.75;57.99;214.38;51.44;235.48;43.16;251.77;34.11;265.08;24.88;276.83;15.86;287.92;7.39;299.00;-0.20;310.50;--;--;--;--;--;--;
2024-06-21;--;--;--;--;--;--;--;--;3.73;55.73;11.84;66.96;20.64;77.98;29.82;89.33;39.01;101.78;47.74;116.47;55.25;135.11;60.28;159.30;61.35;187.65;58.01;214.29;51.47;235.41;43.19;251.71;34.15;265.04;24.91;276.78;15.89;287.88;7.42;298.95;-0.18;310.45;--;--;--;--;--;--;
2024-06-22;--;--;--;--;--;--;--;--;3.70;55.70;11.80;66.92;20.61;77.94;29.78;89.29;38.97;101.73;47.70;116.42;55.22;135.04;60.26;159.20;61.34;187.54;58.02;214.20;51.49;235.34;43.22;251.65;34.17;264.98;24.94;276.74;15.92;287.84;7.44;298.91;-0.16;310.41;--;--;--;--;--;--;
2024-06-23;--;--;--;--;--;--;--;--;3.66;55.66;11.76;66.89;20.57;77.91;29.74;89.26;38.93;101.70;47.66;116.37;55.18;134.97;60.24;159.11;61.33;187.44;58.02;214.10;51.50;235.26;43.24;251.59;34.19;264.93;24.96;276.68;15.94;287.78;7.46;298.86;-0.15;310.35;--;--;--;--;--;--;
2024-06-24;--;--;--;--;--;--;--;--;3.62;55.63;11.72;66.86;20.52;77.89;29.69;89.23;38.88;101.67;47.62;116.33;55.14;134.92;60.21;159.03;61.31;187.33;58.02;214.00;51.51;235.17;43.25;251.51;34.21;264.86;24.98;276.63;15.95;287.73;7.47;298.80;-0.15;310.30;--;--;--;--;--;--;
2024-06-25;--;--;--;--;--;--;--;--;3.57;55.61;11.67;66.84;20.47;77.87;29.64;89.21;38.83;101.64;47.56;116.30;55.09;134.86;60.17;158.95;61.29;187.22;58.01;213.89;51.51;235.08;43.26;251.44;34.22;264.80;24.99;276.57;15.96;287.67;7.47;298.75;-0.15;310.24;--;--;--;--;--;--;
2024-06-26;--;--;--;--;--;--;--;--;3.52;55.58;11.61;66.82;20.41;77.85;29.58;89.20;38.77;101.62;47.51;116.27;55.04;134.82;60.12;158.87;61.26;187.12;58.00;213.78;51.51;234.98;43.26;251.35;34.23;264.72;24.99;276.50;15.96;287.61;7.47;298.68;-0.15;310.18;--;--;--;--;--;--;
2024-06-27;--;--;--;--;--;--;--;--;3.46;55.57;11.55;66.81;20.35;77.84;29.52;89.19;38.71;101.61;47.45;116.25;54.98;134.78;60.07;158.80;61.22;187.01;57.98;213.67;51.50;234.88;43.26;251.27;34.23;264.65;24.99;276.43;15.96;287.54;7.46;298.62;-0.17;310.12;--;--;--;--;--;--;
2024-06-28;--;--;--;--;--;--;--;--;3.39;55.55;11.48;66.80;20.28;77.84;29.45;89.19;38.64;101.61;47.38;116.24;54.91;134.75;60.01;158.73;61.18;186.91;57.95;213.55;51.49;234.78;43.25;251.17;34.22;264.56;24.99;276.35;15.95;287.47;7.45;298.55;-0.19;310.05;--;--;--;--;--;--;
2024-06-29;--;--;--;--;--;--;--;--;3.32;55.54;11.41;66.80;20.21;77.84;29.38;89.19;38.57;101.61;47.31;116.24;54.84;134.72;59.95;158.67;61.12;186.80;57.91;213.44;51.46;234.66;43.23;251.08;34.21;264.48;24.97;276.27;15.93;287.40;7.43;298.48;-0.21;309.98;--;--;--;--;--;--;
2024-06-30;--;--;--;--;--;--;--;--;3.25;55.54;11.34;66.80;20.13;77.84;29.31;89.20;38.50;101.62;47.23;116.24;54.77;134.71;59.87;158.61;61.07;186.70;57.87;213.31;51.44;234.55;43.21;250.97;34.19;264.38;24.96;276.19;15.91;287.32;7.40;298.41;-0.25;309.91;--;--;--;--;--;--;
